id,organization,first_name,last_name,category_id,category,business_type,sex,phone_number_1,phone_number_1_organizational_position,phone_number_1_name,phone_number_1_ex,phone_number_1_note,phone_number_2,phone_number_2_name,phone_number_2_organizational_position,phone_number_2_ex,phone_number_2_note,phone_number_3,phone_number_3_name,phone_number_3_organizational_position,phone_number_3_ex,phone_number_3_note,phone_number_4,phone_number_4_name,phone_number_4_organizational_position,phone_number_4_ex,phone_number_4_note,phone_number_5,phone_number_5_name,phone_number_5_organizational_position,phone_number_5_ex,phone_number_5_note,phone_number_6,phone_number_6_name,phone_number_6_organizational_position,phone_number_6_ex,phone_number_6_note,fax,mobile_number_1,mobile_number_1_name,mobile_number_1_note,mobile_number_1_email,mobile_number_2,mobile_number_2_name,mobile_number_2_note,mobile_number_2_email,mobile_number_3,mobile_number_3_name,mobile_number_3_note,mobile_number_3_email,mobile_number_4,mobile_number_4_name,mobile_number_4_note,mobile_number_4_email,province,city,address_1,postal_code_1,address_2,postal_code_2,address_3,postal_code_3,description,customer_id,color,note,created_at,modified_at,owner,latest_editor,latest_editor_log,deleted_data,active
1274,,,فرجامی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09118309542,,,,,,,,,,,,,,,,,,آدرس 1 : انزلی,,,,,,,,,,,,,,,,
1275,,اکبر,فرجی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09122063551,,,,,,,,,,,,,,,,,,"آدرس 1 : تهران،  45 متری گلشهر ،بلوار حدادی،خیابان انقلاب،کوچه زنبق2،ساختمان مانی ط1 آدرس 2 (پستی) : تهران، خیابان شریعتی، خیابان ظفر(دستگردی) ، نرسیده به خیابان نفت، شماره 170",1919753692 1919753692,,,,,,,,,,,,,,,
1276,,مجتبی,فرجی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121277337,,,,,,,,,,,,,,,,,,"آدرس 1 (پستی) : تهران، بزرگراه امام رضا، شهرک صنعتی خاوران، فن آوران میدان کوثر، صنعت جنوبی، شماره 1204",1467754314,,,,,,,,,,,,,,,
1277,فردا شیمی,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-22907960,,,,,021-22264377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1278,فرزان راد,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88339016,,,,,021-88339015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1279,,,فرزین فر,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22592751,09121138917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,فرشاد نیا,,,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09188364968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,,,فرقانی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,019-34210242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019-342226011,09113921652,,,,,,,,,,,,,,,,مازندران,تنکابن,ایران مازندران تنکابن ,,,,,,,,,,,,,,,,
1282,,,فرکوش,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09360829232,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران دولت آباد، خیابان شهید بروجردی، بلوار قدس(بلوار عرب ها)دست چپ ، مجتمع برلیان، طبقه همکف تالار",,,,,,,,,,,,,,,,
1283,فرنوش شیمی,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-8842577,,,,,021-8842573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1284,,,فروزنده,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121318409,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان فلسطین، بین بزرگمهر و انقلاب، پلاک 333 جدید ، واحد 20",,,,,,,,,,,,,,,,
1285,فروشگاه آرمانی,,غنی ,, مشتریان صنعت کامپوزیت,مصرف کننده,,026-34452087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,البرز,کرج,"ایران البرز کرج سه راه رجائی شهر، جنب پل، نبش کوچه شهید جوادی، فروشگاه آرمانی",,,,,,,,,,,,,,,,
1286,فروشگاه برادران هاشمی,,,, مشتریان صنعت کامپوزیت,مصرف کننده,, 026-34576947,,,,,026-34557363,,,,,,,,,,,,,,,,,,,,,,,,,026-34576947,,,,,,,,,,,,,,,,,البرز,کرج,"ایران البرز کرج اتوبان کرج، صد متر بعد از عوارضی کرج قزوین، خیابان بغل پل هوایی بزرگ،سمت راست،نبش میدان حصارک",,,,,,,,,,,,,,,,
1287,فروشگاه پارمیدا,,خلج,, مشتریان صنعت کامپوزیت,مصرف کننده,,026-34431737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,البرز,کرج,"ایران البرز کرج  سه راه گوهردشت، ابتدای کمربندی، بالای ایستگاه تاکسی درختی، جنب چاپ پارسیان، فروشگاه پارمیدا",,,,,,,,,,,,,,,,
1288,فروشگاه چسب معتمدی,,معتمدی,, مشتریان صنعت کامپوزیت,مصرف کننده,, 021-55151282,,,,,021-55602080,,,,,,,,,,,,,,,,,,,,,,,,,021-55602080,09123804967,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران خیابان 15 خرداد روبروی میدان ارگ کوچه سیدولی پلاک 172 ,,,,,,,,,,,,,,,,
1289,فروشگاه دنیای پلیمر,,,, مشتریان صنعت کامپوزیت,فروشنده مواد اولیه کامپوزیت,,22768325,,,,,22768059,,,,,22768271,,,,,22768325,,,,,,,,,,,,,,,22768208,09121251729,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1: تهران، خیابان پاسداران، گلستان یکم، نبش پایدار فرد، پلاک 31، واحد 7، ساختمان آریا آدرس 2( پستی ) : خیابان پاسداران، بهستان 9،پلاک 4، واحد 7",1666953318 1945993984,,,,,,,,,,,,,,,
1290,فروشگاه دومادکور,,گلریز,, مشتریان صنعت کامپوزیت,مصرف کننده,, 019-34229030,,,,,019-34220607,,,,,,,,,,,,,,,,,,,,,,,,,,09111934677,,,,,,,,,,,,,,,,مازندران,چالوس,"ایران مازندران چالوس خیابان جمهوری، روبروی خیابان مهر، پلاک373        ",4681648947,,,,,,,,,,,,,,,
1291,فروشگاه رزین سنگ امیری,,امیری,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,, 086-33324694,,,,,086-33324461,,,,,,,,,,,,,,,,,,,,,,,,,"086-33324694, 086-33324461",09183663117,,,,,,,,,,,,,,,,مرکزی,محلات,"ایران مرکزی محلات  خیابان 15 خرداد، کوچه شهید حسین امیری، پلاک 155 ",3781957386,,,,,,,,,,,,,,,
1292,فروشگاه رنگ صدف,,موسوی,, مشتریان صنعت کامپوزیت,مصرف کننده,,031-33627438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09133127339,,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان خمینی شهر، خیابان شریعتی شمال، مابین کوچه 104 و 106، رنگ صدف",,,,,,,,,,,,,,,,
1293,فروشگاه رنگ فاضلی ,,,, مشتریان صنعت کامپوزیت,مصرف کننده,, 021-66213084,,,,,021-66233536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران جاده ساوه ، یافت آباد غربی، میدان معلم ، جنب ایران خودرو، پلاک 162، فروشگاه رنگ فاضلی",,,,,,,,,,,,,,,,
1294,فروشگاه رنگ هنرمند,,بیگی,, مشتریان صنعت کامپوزیت,مصرف کننده,, 026-34559171,,,,,026-34555525,,,,,,,,,,,,,,,,,,,,,,,,,026-34559171,,,,,,,,,,,,,,,,,البرز,کرج,ایران البرز کرج ,,,,,,,,,,,,,,,,
1295,فروشگاه سنگ آسا,,هاشمی,, مشتریان صنعت کامپوزیت,مصرف کننده,,031-33801060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اصفهان,,"ایران اصفهان  خیابان محمودآباد، خیابان 24",,,,,,,,,,,,,,,,
1296,فروشگاه کناف,,کمائی,, مشتریان صنعت کامپوزیت,تولید کننده قطعات فایبرگلاس,,065-32343561,,,,,065-32343691,,,,,,,,,,,,,,,,,,,,,,,,,065-32343691,09166520940,,,,,,,,,,,,,,,,خوزستان,بندر ماهشهر,"ایران خوزستان بندر ماهشهر ناحیه صنعتی،خیابان پشت مسجد جامع",,,,,,,,,,,,,,,,
1297,فروشگاه کنترل گاز وبخار,,,, مشتریان صنعت کامپوزیت,مصرف کننده,, 021-77600327,,,,,021-77653860,,,,,,,,,,,,,,,,,,,,,,,,,021-77600327,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1298,فروشگاه هامون,,نفیسی,, مشتریان صنعت کامپوزیت,مصرف کننده,,071-32352554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071-32357719,,,,,,,,,,,,,,,,,فارس,,ایران فارس ,,,,,,,,,,,,,,,,
1299,,,فرهادی پور,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09122702460,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران ناصرخسرو ، کوچه خدابنده لو ، پاساژ اخوت ، شیمیایی پونه",,,,,,,,,,,,,,,,
1300,,,فرهمند,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09128557613,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1301,,,فرهمند,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121152194,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1302,,احسان,فریدونی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09173171086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,فضا قطعه سازان,,,, مشتریان صنعت کامپوزیت,,,76217824,,,,,76217823,,,,,,,,,,,,,,,,,,,,,,,,,76217825,,,,,,,,,,,,,,,,,,,"آدرس 1 (پستی) : تهران، جاده ابعلی، شهر صنعتی خرمدشت، خیابان 18 متری قائم، بعد از پمپ بنزین، بین دانش 6 و 7 ، پلاک 84",1653155189,,,,,,,,,,,,,,,
1304,,,فضلعلی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09369067767,,,,,,,,,,,,,,,,,,"آدرس 1 : تهران، همت،پاسداران، خیابان گل نبی،خ ناطق نوری، کوچه همایون ، پلاک 16",,,,,,,,,,,,,,,,
1305,فطروس بنای بین الملل,,,, مشتریان صنعت کامپوزیت,,,66918587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : تهران، ستارخان،نرسیده به میدان توحید،خیابان کوثر دوم،کوچه امین ،پلاک4",1457764141,,,,,,,,,,,,,,,
1306,,,فعال,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,021-33111249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-33928400,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1307,,,فکری نژاد,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,041-34203545,,,,,041-31206669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,آذربایجان شرقی,تبریز,ایران آذربایجان شرقی تبریز ,,,,,,,,,,,,,,,,
1308,فلات سنگ آسیا,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,22365114,,,,,031-36683892,,,,,031-36686440,,,,,031-36686442,,,,, 031-45643336,,,,,22872385,,,,,"031-36683892, 031-45643338","09133292717, 09134138620, 09134015851",,,,,,,,,,,,,,,,اصفهان تهران,اصفهان تهران,"ایران اصفهان اصفهان آدرس 1(پستی) : اصفهان، شهرک صنعتی مورچه خور، فاز 4، خیابان دکتر حسابی سوم،  پلاک 646 ، شرکت فلات سنگ اسیا ایران تهران تهران آدرس 2 : تهران، خیابان سعادت آباد، انتهای علامه شمالی، پلاک 2 ، ساختمان فرهام، طبقه 4 ، واحد 12و13",8333116811,,,,,آدرس 1 پستی میباشد,,,,,,,,,,
1309,فلات قاره,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-33130418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1310,,,فلک الدین,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09195021041,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1311,فن اوران تجهیز,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88719975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1312,فنی مهندسی ایرمان تک سپاهان,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,031-32369184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031-32368083,,,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان آدرس 1 : اصفهان، پل شیری، خیابان مقداد( آتش)، نبش بن بست4، پلاک 88",8184934611,,,,,,,,,,,,,,,
1313,فنی مهندسی راد کیان صنعت سها,,,, مشتریان صنعت کامپوزیت,,, 071-37227993,,,,,071-37229772,,,,,,,,,,,,,,,,,,,,,,,,,37227993,,,,,,,,,,,,,,,,,,,"آدرس 1 : شیراز، پودنک، خیابان استاد مردانی غربی، کوچه 7، پلاک 414 آدرس 2(پستی) : شیراز ، شهرک بزرگ صنعتی، میدان اول، بلوار نو بنیاد، خیابان 2500، پلاک 22",7155834395 7158167167,,,,,,,,,,,,,,,
1314,فوکا,,نجفی,, مشتریان صنعت کامپوزیت,مصرف کننده,,026-3624885,,,,,026-36248803,,,,,026-3624884,,,,,,,,,,,,,,,,,,,,026-3624884,09121197793,,,,,,,,,,,,,,,,تهران,شهریار,"ایران تهران شهریار جاده کهن، بعد از شهرک ویره ، دست چپ، داخل کوچه پرتو، داخل کارخانه  پرتو آبگردان",,,,,,,,,,,,,,,,
1315,فولاد سازان,,شیروانی,, مشتریان صنعت کامپوزیت,مصرف کننده,,034-33420322,,,,,034-33420323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,کرمان,کرمان,ایران کرمان کرمان ,,,,,,,,,,,,,,,,
1316,فولاد غرب آسیا,,خلیقی,, مشتریان صنعت کامپوزیت,مصرف کننده,, 021-88505549 ,,,,,021-82175000,,,,,021-3679532,,,,,,,,,,,,,,,,,,,,021-88505549,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان قائم مقام فراهانی، خیابان دهم، پلاک 24جدید، ساختمان شماره5، طبقه دوم ، واحد 5",5868638111,,,,,,,,,,,,,,,
1317,فولاد هرمزگان جنوب,,,, مشتریان صنعت کامپوزیت,,,076-33530008,,,,,076-33530003,,,,,,,,,,,,,,,,,,,,,,,,,076-33530055,,,,,,,,,,,,,,,,,,,"آدرس 1 : بندرعباس، کیلومتر 13جاده بندرشهید رجائی، مجتمع فولاد هرمزگان،",7917176319,,,,,,,,,,,,,,,
1318,فوم  تهران ,,شاملو,, مشتریان صنعت کامپوزیت,مصرف کننده,, 021-77209936,,,,,021-77442461,,,,,,,,,,,,,,,,,,,,,,,,,,09121394425,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان هنگام، بلواردلاوران، بلوار آزادگان شمالی، پلاک320",,,,,,,,,,,,,,,,
1319,فهیم کالا,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-44614016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-44432471,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران بزرگراه ستاری، بین حکیم و همت،  نبش بنفشه یکم،  ساختمان شایان، طبقه دوم ",,,,,,,,,,,,,,,,
1320,,,فیض بخش,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد, 021-88512407,,,,,021-88746934,,,,,,,,,,,,,,,,,,,,,,,,,021-88747148,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1321,,,قادر زاده,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09149590089,,,,,,,,,,,,,,,,کردستان,سردشت,ایران کردستان سردشت ,,,,,,,,,,,,,,,,
1322,,,قاسمی ,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد, 041-34202994,,,,,021-5511750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,آذربایجان شرقی,تبریز,ایران آذربایجان شرقی تبریز ,,,,,,,,,,,,,,,,
1323,,,قاسمیان ,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09128136491,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
1324,قالب سازی پات,,فیروزی,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-44987625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران کیلومتر20 جاده مخصوص کرج، شهرک وردآورد، خیابان حسین ، پلاک119",,,,,,,,,,,,,,,,
1325,,,قانعی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09131007320,,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان آدرس 1 :تهران،  میدان آزادی، میدان فتح ،ابتدای جاده قدیم کرج ، پایگاه یکم شکاری شهید لشکری(مهرآباد) از میدان فتح کمی جلوتر دست راست پایگاه یکم شکاری است",,,,,,,,,,,,,,,,
1326,,,قانعی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,021-88099080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121039328,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شهرک غرب، فاز6 گل افشان جنوبی، سروستان غربی، پلاک 18، واحد6",,,,,,,,,,,,,,,,
1327,,,قایدی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09177795919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,,بهزاد,قائد علم,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09132884672,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : اصفهان، خیابان آتشگاه ،  کوچه 104، ساختمان فستو",8185813431,,,,,,,,,,,,,,,
1329,,محمد اسماعیل,قائم جو,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09124237010,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : تهران، خیابان رجایی، نرسیده به باقر شهر، شهر سنگ، کوچه دوم، پلاک 29",1815135639,,,,,,,,,,,,,,,
1330,,,قائمی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد, 041-34202994,,,,,041-35511750,,,,,,,,,,,,,,,,,,,,,,,,,041-35516956,09143084705,,,,,,,,,,,,,,,,آذربایجان شرقی,تبریز,ایران آذربایجان شرقی تبریز ,,,,,,,,,,,,,,,,
1331,,,قبادی,, مشتریان صنعت کامپوزیت,,,33122434,,,,,33122400,,,,,,,,,,,,,,,,,,,,,,,,,,09122727464,,,,,,,,,,,,,,,,,,"آدرس 1 : تهران، چهارراه مولوی، خیابان صاحب جم، پلاک 357،",,,,,,,,,,,,,,,,
1332,,مهدی,قبادی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09124343093,,,,,,,,,,,,,,,,,,"آدرس 1 پستی: تهران، کیلومتر 15 جاده خاوران، شهرک صنعتی خاوران، سایت فن آوران، پلاک 4011",18651665955,,,,,,,,,,,,,,,
